product,brand,price,oz_per_can,num_cans,price_per_oz
"Royal Canin Veterinary Diet Gastrointestinal High Energy Canned Cat Food, 5.8-oz, case of 24",Royal Canin Veterinary Diet,$49.39,5.8,24.0,0.35481321839080465
"Friskies Extra Gravy Pate with Chicken in Savory Gravy Canned Cat Food, 5.5-oz, case of 24",Friskies,$11.04,5.5,24.0,0.08363636363636363
"Fancy Feast Kitten Tender Ocean Whitefish Feast Canned Cat Food, 3-oz, case of 24",Fancy Feast,$13.43,3.0,24.0,0.18652777777777776
"Whiskas Choice Cuts Poultry Selections Cat Food Pouches, 3-oz, case of 12",Whiskas,$5.74,3.0,12.0,0.15944444444444444
"Fancy Feast Purely Wild Alaskan Salmon & White Meat Chicken Entree Wet Cat Food, 2-oz tray, case of 10",Fancy Feast,$9.65,2.0,10.0,0.48250000000000004
"Purina Pro Plan Savor Adult Tuna Entree in Sauce Canned Cat Food, 3-oz, case of 24",Purina Pro Plan,$23.28,3.0,24.0,0.32333333333333336
"Merrick Purrfect Bistro Grain-Free Chicken Pate Canned Cat Food, 5.5-oz, case of 24",Merrick,$38.66,5.5,24.0,0.29287878787878785
"Purina Pro Plan Focus Adult Classic Urinary Tract Health Formula Ocean Whitefish Entree Canned Cat Food, 3-oz, case of 24",Purina Pro Plan,$23.28,3.0,24.0,0.32333333333333336
"Purina Pro Plan Urinary Tract Health Variety Pack Canned Cat Food, 3-oz, case of 24",Purina Pro Plan,$11.49,3.0,24.0,0.15958333333333333
"Friskies Flaked with Tuna & Egg in Sauce Canned Cat Food, 5.5-oz, case of 24",Friskies,$12.96,5.5,24.0,0.09818181818181819
"Sheba Perfect Portions Grain-Free Roasted Chicken Cuts in Gravy Entree Cat Food Trays, 2.6-oz, case of 24 twin-packs",Sheba,$19.20,2.6,24.0,0.30769230769230765
"Fancy Feast Gourmet Naturals Seafood Variety Pack Canned Cat Food, 3-oz, case of 30",Fancy Feast,$24.98,3.0,30.0,0.27755555555555556
"Hill's Prescription Diet a/d Urgent Care with Chicken Canned Dog & Cat Food, 5.5-oz, case of 24",Hill's Prescription Diet,$61.99,5.5,24.0,0.46962121212121216
